"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Functional E2E","0","Signup Page","2","0","TC-12: Signing up with an already registered email is rejected","0"
"0","Visual Regression","0","Signup Page","1","0","VR-14: Account Information form","0"
"0","Functional E2E","0","Products Page","2","0","TC-13: The products page renders its catalog and special offer banner","0"
"0","Visual Regression","0","Home Page","1","0","VR-06: Recommended items section","0"
"0","API","0","Account API","1","0","API-05: Verifying login with correct credentials succeeds","0"
"0","Visual Regression","0","Cart Page","1","0","VR-27: Checkout guard modal","0"
"0","Functional E2E","0","Checkout Page","2","0","TC-20: The checkout page shows the order it will place, ready to proceed","0"
"0","Functional E2E","0","Products Page","2","0","TC-15: A search with no matches returns an empty result set","0"
"0","Visual Regression","0","Product Detail Page","1","0","VR-24: Review submitted","0"
"0","Visual Regression","0","Product Detail Page","1","0","VR-22: Write Your Review form, default","0"
"0","Functional E2E","0","Confirmation Page","2","0","TC-22: The confirmation page confirms the order, downloads its invoice, and Continue returns home","0"
"0","Visual Regression","0","Product Detail Page","1","0","VR-21: Product showcase","0"
"0","Visual Regression","0","Payment Page","1","0","VR-32: Payment form, validation","0"
"0","Functional E2E","0","Home Page","2","0","TC-03: The hero's Test Cases and API Testing buttons open their own pages","0"
"0","Functional E2E","0","Payment Page","2","0","TC-21: The payment form collects card details and completes the order","0"
"0","Visual Regression","0","Signup Page","1","0","VR-17: Account Created confirmation","0"
"0","Functional E2E","0","Home Page","2","0","TC-05: The main navigation reaches every page it links to","0"
"0","Functional E2E","0","Product Detail Page","2","0","TC-17: A product review can be submitted from the detail page","0"
"0","Visual Regression","0","Products Page","1","0","VR-18: Special offer banner","0"
"0","Visual Regression","0","Products Page","1","0","VR-19: Search results, matching","0"
"0","Visual Regression","0","Login Page","1","0","VR-11: Login form, default","0"
"0","Visual Regression","0","Signup Page","1","0","VR-13: Signup quick form, default","0"
"0","Visual Regression","0","Products Page","1","0","VR-20: Search results, empty","0"
"0","Visual Regression","0","Payment Page","1","0","VR-30: Payment form, default","0"
"0","Visual Regression","0","Home Page","1","0","VR-10: Add-to-cart confirmation modal","0"
"0","Visual Regression","0","Payment Page","1","0","VR-31: Payment form, filled","0"
"0","Visual Regression","0","Home Page","1","0","VR-07: Subscription widget","0"
"0","Visual Regression","0","Home Page","1","0","VR-03: Category sidebar, expanded","0"
"0","Visual Regression","0","Home Page","1","0","VR-09: Footer bar","0"
"0","API","0","Account API","1","0","API-18: Updating an account's details succeeds","0"
"0","Visual Regression","0","Cart Page","1","0","VR-26: Cart, with a product","0"
"0","API","0","Catalog API","1","0","API-12: Searching without a term is rejected","0"
"0","API","0","Account API","1","0","API-19: Updating an account with a required field missing is rejected","0"
"0","Visual Regression","0","Signup Page","1","0","VR-16: Signup quick form, error","0"
"0","Visual Regression","0","Home Page","1","0","VR-08: Subscription widget, subscribed","0"
"0","Visual Regression","0","Product Detail Page","1","0","VR-23: Write Your Review form, validation","0"
"0","API","0","Catalog API","1","0","API-13: An unsupported method on the search endpoint is rejected","0"
"0","API","0","Catalog API","1","0","API-14: An unsupported method on the products list endpoint is rejected","0"
"0","Visual Regression","0","Home Page","1","0","VR-01: Hero section","0"
"0","API","0","Account API","1","0","API-03: Creating an account with an already-registered email is rejected","0"
"0","Visual Regression","0","Home Page","1","0","VR-05: Featured product card","0"
"0","API","0","Account API","1","0","API-16: Verifying login without an email is rejected","0"
"0","Visual Regression","0","Confirmation Page","1","0","VR-33: Order confirmation","0"
"0","Functional E2E","0","Login Page","2","0","TC-09: Logging out returns the visitor to the guest state","0"
"0","Visual Regression","0","Home Page","1","0","VR-04: Brands sidebar","0"
